/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.1024kB.4.txt is the fastest at 7257957 cycles
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.16kB.2--L1_I.4kB.2--L2.128kB.4.txt is 190039 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.16kB.4--L1_I.4kB.2--L2.128kB.4.txt is 190199 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.2--L1_I.4kB.2--L2.128kB.4.txt is 187386 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.16kB.2--L2.128kB.4.txt is 57543 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.16kB.4--L2.128kB.4.txt is 47239 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.2--L2.128kB.4.txt is 35645 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.1024kB.4.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.1024kB.8.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.128kB.4.txt is 33179 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.128kB.8.txt is 30188 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.2048kB.4.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.2048kB.8.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.256kB.4.txt is 7417 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.256kB.8.txt is 3489 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.4096kB.4.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.4096kB.8.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.512kB.4.txt is 135 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.32kB.4--L2.512kB.8.txt is 0 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.4kB.2--L2.128kB.4.txt is 187380 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.4kB.4--L2.128kB.4.txt is 182821 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.8kB.2--L2.128kB.4.txt is 103600 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.32kB.4--L1_I.8kB.4--L2.128kB.4.txt is 91968 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.4kB.2--L1_I.4kB.2--L2.128kB.4.txt is 195393 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.4kB.4--L1_I.4kB.2--L2.128kB.4.txt is 192820 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.8kB.2--L1_I.4kB.2--L2.128kB.4.txt is 193087 cycles slower than fastest
/home/cjohnson/School/ECE561/HW2/problem1/L1_D.8kB.4--L1_I.4kB.2--L2.128kB.4.txt is 192559 cycles slower than fastest
